EmpDepartment,EmpJobRole,EmpEnvironmentSatisfaction,EmpLastSalaryHikePercent,YearsSinceLastPromotion,ExperienceYearsInCurrentRole,EmpWorkLifeBalance,YearsWithCurrManager,ExperienceYearsAtThisCompany,EmpJobLevel,PerformanceRating
Data Science,Data Scientist,2,16,4,9,1,7,10,3,3
Sales,Manager,4,18,0,0,3,0,1,3,3
Sales,Sales Executive,3,15,0,3,2,1,6,2,3
Development,Developer,3,14,1,2,2,5,6,1,3
Sales,Sales Executive,4,12,12,7,3,8,19,3,3
Sales,Sales Executive,4,14,0,2,3,5,6,2,3
Development,Technical Lead,4,16,3,11,4,7,13,2,3
Development,Developer,2,14,0,8,3,7,10,3,3
Development,Developer,3,12,1,4,3,4,5,2,3
Sales,Sales Representative,1,17,5,8,3,8,9,1,2
Sales,Sales Executive,2,14,4,10,3,1,11,3,2
Sales,Sales Executive,3,14,0,7,4,8,10,3,4
Development,Developer,3,13,0,3,2,1,4,1,3
Development,Technical Lead,3,15,2,2,2,2,2,1,3
Development,Developer,3,11,11,17,3,15,22,5,3
Human Resources,Human Resources,2,17,2,2,2,2,2,1,2
Sales,Manager,4,11,0,0,2,6,7,5,3
Development,Developer,3,13,0,4,1,4,5,1,3
Sales,Manager,4,22,1,13,3,9,17,4,4
Development,Developer,1,20,1,7,4,7,9,1,3
Sales,Manager,1,18,15,7,4,12,33,5,2
Development,Developer,4,14,1,2,1,2,3,1,3
Data Science,Data Scientist,3,14,1,2,3,2,3,1,3
Sales,Sales Executive,3,18,2,2,3,2,3,2,3
Data Science,Data Scientist,3,16,0,0,2,0,1,2,3
Development,Technical Lead,2,12,2,2,3,2,2,3,2
Development,Developer,3,13,0,2,2,2,2,1,3
Development,Developer,4,13,5,9,3,9,11,2,3
Development,Technical Lead,3,14,0,1,2,2,3,1,3
Development,Technical Lead,1,17,0,2,3,2,3,2,4
Development,Developer,1,11,0,0,3,0,1,3,3
Development,Developer,3,25,11,6,3,8,19,3,4
Development,Developer,4,13,0,2,3,2,3,2,3
Sales,Sales Executive,4,14,0,2,3,2,3,2,3
Development,Developer,1,12,1,2,3,2,4,2,3
Development,Developer,4,11,7,6,3,8,9,1,3
Data Science,Data Scientist,1,19,3,7,3,9,21,5,2
Development,Developer,3,11,0,0,2,0,1,1,3
Development,Technical Lead,2,20,0,1,1,3,5,1,3
Sales,Sales Executive,4,18,7,7,3,5,8,2,3
Development,Developer,4,13,0,2,3,4,6,2,3
Sales,Manager,3,12,7,7,2,7,7,4,3
Development,Developer,1,11,0,0,1,0,0,1,3
Sales,Sales Executive,1,19,0,0,3,0,0,2,3
Data Science,Data Scientist,2,21,7,0,3,8,9,2,4
Development,Developer,2,12,1,3,3,5,6,2,3
Development,Technical Lead,3,14,4,7,3,10,20,4,3
Development,Developer,4,14,4,10,3,13,36,5,3
Development,Technical Lead,4,23,0,2,2,4,5,1,4
Sales,Sales Executive,3,14,0,4,4,1,5,2,4
Development,Developer,4,17,1,2,4,0,3,1,4
Development,Developer,1,18,0,2,3,2,5,3,3
Development,Technical Lead,2,18,6,7,2,2,7,3,3
Sales,Sales Executive,1,24,7,0,3,7,8,2,4
Data Science,Data Scientist,3,20,1,5,1,4,6,2,3
Development,Developer,1,14,1,4,2,6,10,5,2
Development,Technical Lead,3,16,1,3,2,3,5,4,3
Sales,Sales Executive,2,25,11,16,3,6,20,2,2
Development,Developer,1,13,3,3,3,3,5,2,3
Development,Technical Lead,4,12,5,12,3,7,17,1,3
Development,Developer,4,22,0,0,1,0,1,1,3
Development,Developer,4,14,1,2,3,2,2,2,3
Data Science,Data Scientist,1,13,0,2,3,2,3,1,3
Development,Technical Lead,4,21,0,3,3,2,5,1,4
Development,Developer,3,11,1,2,3,2,3,5,3
Sales,Sales Representative,4,11,2,2,2,2,2,1,3
Sales,Sales Executive,4,12,7,7,3,4,8,2,3
Development,Developer,2,12,1,2,2,2,4,1,2
Sales,Sales Executive,3,14,4,4,4,8,20,4,3
Development,Developer,3,13,0,0,3,0,0,1,3
Sales,Sales Executive,3,15,6,9,2,9,11,3,3
Development,Developer,3,18,0,0,3,0,1,1,3
Development,Technical Lead,4,18,1,1,3,2,4,2,3
Sales,Manager,4,19,0,10,3,4,22,4,3
Sales,Sales Representative,4,12,0,0,3,0,0,1,3
Data Science,Data Scientist,2,19,0,3,3,7,8,2,3
Development,Technical Lead,3,17,3,10,2,7,18,3,3
Development,Technical Lead,2,15,0,8,3,8,9,2,3
Sales,Sales Executive,4,14,4,8,2,8,13,2,3
Development,Developer,1,17,0,8,3,1,10,3,3
Development,Developer,3,12,0,2,3,3,5,1,3
Human Resources,Human Resources,1,12,1,2,3,0,2,2,2
Development,Technical Lead,1,18,9,9,3,11,24,3,3
Development,Developer,3,18,2,2,1,2,2,1,3
Development,Developer,4,11,8,6,3,8,10,3,3
Development,Developer,3,14,11,9,3,10,21,4,3
Development,Developer,3,19,1,7,3,7,8,1,3
Development,Technical Lead,3,12,0,1,3,7,7,4,3
Development,Technical Lead,3,12,1,3,2,2,4,1,3
Sales,Sales Executive,3,11,11,12,3,9,13,2,3
Sales,Sales Executive,4,11,0,4,3,4,5,2,3
Sales,Sales Executive,4,12,1,7,3,7,7,2,3
Development,Technical Lead,1,16,0,7,2,7,7,2,3
Development,Delivery Manager,4,13,1,8,3,9,10,2,3
Development,Developer,3,15,13,9,3,3,21,5,3
Sales,Sales Executive,4,18,0,0,2,0,1,2,3
Sales,Sales Executive,2,14,0,7,2,1,7,2,4
Data Science,Data Scientist,4,11,1,2,3,1,3,5,3
Sales,Sales Executive,3,13,1,4,3,4,5,2,3
Development,Delivery Manager,3,16,0,0,2,0,1,3,3
Development,Developer,4,14,9,9,3,8,10,2,3
Sales,Sales Executive,2,22,0,3,2,2,4,2,3
Development,Developer,2,11,0,7,2,7,7,1,3
Sales,Sales Executive,4,13,1,9,3,2,10,2,3
Sales,Sales Executive,2,18,0,7,3,7,8,2,3
Development,Delivery Manager,4,16,0,2,2,4,6,2,3
Development,Developer,3,14,2,10,3,9,11,3,3
Development,Delivery Manager,3,14,4,9,2,10,11,3,3
Sales,Sales Executive,4,14,1,7,3,7,7,2,3
Development,Delivery Manager,3,13,0,6,3,13,16,3,3
Development,Developer,4,15,1,4,3,2,5,2,3
Sales,Sales Representative,2,19,0,0,3,0,0,2,3
Development,Developer,1,14,0,0,3,0,1,4,3
Sales,Sales Executive,4,14,0,3,2,2,4,2,3
Human Resources,Human Resources,3,11,1,2,3,0,3,1,3
Development,Delivery Manager,3,13,6,7,3,7,7,2,3
Sales,Sales Executive,3,17,7,7,3,7,8,2,3
Sales,Sales Representative,1,11,1,2,3,2,3,1,2
Sales,Sales Executive,4,15,0,0,3,0,1,2,3
Sales,Sales Executive,1,11,1,9,3,12,13,3,2
Development,Developer,4,11,1,2,3,2,3,2,3
Development,Delivery Manager,4,13,1,7,3,7,7,1,3
Sales,Sales Representative,1,24,2,2,2,2,3,1,2
Sales,Sales Executive,1,18,7,7,3,7,8,2,2
Sales,Sales Executive,3,12,1,4,3,0,6,2,3
Development,Developer,3,16,2,2,3,2,2,1,3
Sales,Sales Representative,3,15,0,0,3,0,1,1,3
Development,Delivery Manager,4,16,1,2,3,2,3,1,3
Development,Developer,3,19,0,1,3,0,1,2,3
Data Science,Data Scientist,4,11,0,2,3,4,5,1,3
Sales,Sales Executive,2,16,0,5,3,7,7,2,3
Development,Delivery Manager,2,24,0,2,3,0,5,3,3
Sales,Sales Executive,3,11,0,7,2,7,7,2,3
Development,Developer,4,13,2,2,3,2,2,1,3
Sales,Sales Executive,1,13,0,2,2,4,5,2,3
Development,Delivery Manager,3,13,1,4,3,2,5,4,3
Sales,Sales Representative,3,18,0,0,3,0,1,1,3
Development,Developer,3,22,0,4,3,4,6,1,4
Development,Developer,1,13,1,1,3,2,2,1,3
Sales,Sales Executive,2,13,9,9,3,0,10,3,2
Development,Developer,3,23,0,0,3,0,1,1,4
Development,Delivery Manager,4,12,12,7,2,17,18,1,3
Sales,Sales Executive,4,12,1,4,3,3,5,2,3
Development,Delivery Manager,3,12,0,0,2,1,1,2,3
Development,Developer,1,11,3,10,3,9,25,4,2
Development,Developer,2,22,0,0,3,0,1,2,4
Development,Developer,1,11,1,2,2,2,4,5,3
Development,Developer,2,12,3,10,1,12,13,2,3
Development,Developer,4,20,1,2,3,2,3,1,4
Sales,Sales Executive,2,11,1,4,3,3,5,2,2
Development,Senior Developer,2,15,10,11,3,7,13,2,3
Development,Developer,4,12,3,2,3,2,4,1,3
Development,Senior Developer,2,14,1,8,3,6,21,5,2
Sales,Sales Executive,2,11,4,4,3,4,5,2,2
Sales,Sales Executive,2,16,0,7,3,7,10,3,3
Development,Senior Developer,3,12,1,0,3,8,10,2,3
Development,Developer,1,13,0,2,3,2,2,1,3
Development,Developer,4,14,0,4,3,4,5,3,3
Development,Developer,1,21,0,2,2,2,2,1,3
Data Science,Data Scientist,4,13,1,2,1,4,5,4,3
Development,Developer,1,11,0,4,3,2,5,2,3
Development,Developer,3,20,0,4,3,2,5,2,4
Development,Developer,1,11,11,8,1,10,29,5,3
Data Science,Data Scientist,3,14,0,7,2,8,10,2,3
Sales,Sales Representative,1,16,1,3,3,4,5,1,3
Sales,Sales Representative,4,16,1,2,2,0,2,1,3
Data Science,Data Scientist,4,23,0,0,3,0,1,1,4
Sales,Manager,3,14,1,15,3,12,20,5,3
Development,Senior Developer,1,22,0,2,1,2,3,1,3
Development,Senior Developer,3,15,1,3,1,4,5,1,3
Development,Developer,2,18,0,2,3,7,10,3,3
Development,Developer,3,16,1,2,4,1,2,1,3
Human Resources,Human Resources,1,12,0,0,4,0,1,1,3
Sales,Sales Executive,3,11,7,8,3,8,9,3,3
Sales,Manager,1,12,0,0,2,0,1,4,3
Development,Senior Developer,2,15,15,10,3,7,27,4,3
Development,Developer,1,13,0,0,3,4,5,2,3
Development,Senior Developer,1,13,0,2,1,1,3,4,3
Development,Developer,4,15,4,4,3,3,5,1,3
Development,Developer,3,11,0,0,3,0,1,2,3
Development,Senior Developer,4,12,5,3,3,7,7,1,3
Sales,Sales Executive,3,19,1,2,3,2,3,3,3
Development,Senior Developer,3,25,0,8,4,8,13,3,3
Development,Senior Developer,2,12,7,6,4,7,7,3,2
Development,Developer,1,13,1,3,3,3,4,1,3
Sales,Sales Representative,4,14,1,2,3,2,3,1,3
Development,Senior Developer,4,12,0,7,3,0,8,3,3
Development,Developer,1,12,0,0,3,0,1,3,3
Human Resources,Human Resources,2,15,0,2,3,2,3,3,3
Data Science,Data Scientist,2,17,2,2,3,0,2,1,3
Sales,Sales Executive,2,14,9,3,2,7,10,3,2
Development,Senior Developer,3,16,1,2,3,2,2,1,3
Sales,Sales Executive,2,14,6,7,3,7,9,2,2
Sales,Manager,1,23,7,9,3,7,10,4,2
Sales,Sales Executive,4,14,1,3,3,10,14,2,3
Sales,Sales Executive,2,11,6,9,3,9,11,2,2
Development,Developer,3,11,0,3,3,7,8,1,3
Sales,Sales Executive,2,13,0,5,4,5,6,2,3
Development,Developer,4,21,5,9,2,8,10,3,4
Sales,Sales Executive,4,19,3,7,4,7,8,2,3
Development,Developer,1,19,0,1,3,5,6,4,3
Sales,Manager,3,21,0,4,2,1,5,3,4
Sales,Sales Representative,2,14,0,0,3,0,0,1,3
Sales,Sales Executive,3,15,0,0,3,1,1,3,3
Development,Developer,1,17,0,7,3,7,8,2,3
Sales,Sales Executive,1,16,0,4,3,3,5,2,3
Sales,Sales Executive,4,12,5,7,3,7,10,2,3
Development,Developer,3,18,0,0,1,0,1,1,3
Development,Developer,2,17,1,5,4,2,6,3,4
Development,Senior Developer,1,11,1,2,2,2,2,3,2
Sales,Manager,2,16,11,16,3,8,18,4,2
Development,Developer,4,12,6,9,3,9,10,2,3
Data Science,Data Scientist,3,19,0,0,3,0,1,2,3
Development,Developer,2,12,4,5,2,3,6,2,3
Development,Senior Developer,4,17,0,9,3,9,31,5,3
Development,Developer,2,11,1,5,3,4,6,1,3
Sales,Sales Executive,1,20,1,3,4,4,5,2,3
Development,Developer,4,21,0,0,3,0,1,1,4
Human Resources,Manager,1,11,10,5,3,7,32,5,2
Sales,Sales Representative,2,11,0,4,3,6,7,1,3
Development,Senior Developer,1,16,1,3,3,2,6,1,2
Development,Developer,2,13,1,5,3,3,6,1,3
Sales,Sales Executive,2,17,1,1,1,2,3,2,3
Sales,Sales Executive,1,22,5,7,4,7,7,2,2
Development,Developer,1,12,0,3,2,3,5,1,3
Sales,Sales Executive,4,11,1,0,2,0,3,2,3
Development,Developer,3,13,2,2,3,2,10,2,3
Development,Developer,2,14,0,0,2,0,1,4,3
Development,Developer,3,17,0,0,2,0,0,1,3
Development,Senior Developer,4,13,4,7,3,7,8,2,3
Development,Senior Developer,4,11,0,2,1,2,3,4,3
Human Resources,Human Resources,1,11,0,2,4,2,2,2,3
Sales,Sales Representative,3,18,0,2,3,6,8,1,3
Sales,Sales Representative,3,11,0,3,3,2,4,1,3
Sales,Sales Representative,3,11,1,2,3,2,3,1,3
Development,Senior Developer,4,12,0,2,4,1,2,5,3
Development,Developer,1,20,2,2,3,2,2,1,3
Development,Developer,1,12,0,4,2,5,6,2,3
Development,Developer,3,20,0,0,3,0,1,1,4
Development,Senior Developer,2,12,8,9,2,8,10,1,3
Development,Developer,3,13,0,2,3,2,3,1,3
Development,Developer,3,15,7,7,3,8,10,3,3
Sales,Sales Executive,2,14,1,0,2,2,6,2,3
Development,Senior Developer,2,13,11,11,3,8,17,2,3
Human Resources,Human Resources,3,15,7,7,4,1,9,3,3
Development,Developer,2,11,0,2,3,2,3,2,3
Development,Senior Developer,4,11,1,0,3,1,1,1,3
Development,Senior Developer,1,11,9,8,3,7,10,1,3
Development,Developer,1,16,0,2,4,2,3,1,4
Sales,Sales Executive,4,22,1,2,3,2,3,2,4
Sales,Sales Executive,4,20,0,7,3,5,7,2,4
Development,Developer,2,18,2,7,3,8,10,1,3
Sales,Sales Executive,2,12,2,2,3,2,2,2,3
Sales,Sales Executive,4,20,0,5,3,4,6,2,4
Development,Senior Developer,4,17,0,0,3,0,1,1,3
Development,Senior Developer,4,11,3,8,3,8,20,1,3
Data Science,Data Scientist,4,14,7,7,4,7,8,3,3
Sales,Sales Executive,1,14,2,2,3,0,2,2,2
